388	Gordola	1941-01-01		NULL	Arbeitslager für Emigranten und Flüchtlinge
388	Locarno	1944-07-10		NULL	Arbeitslager für Flüchtlinge
396	Oberglatt	1940-06-17		NULL	Arbeitslager für Emigranten
396	Davesco	1942-01-01		NULL	Arbeitslager für Emigranten
400	Geisshubelbad/Rothrist/AG	1943-12-01		NULL	Auffanglager
400	Lugano - Ruvigliana	1947-10-01		Monte Bré	Flüchtlingsheim
400	Lugano - Ruvigliana	1946-06-15		Monte Bré	Flüchtlingsheim
400	Brissago	1947-10-31		unbekannt	Flüchtlingsheim
401	Territet	1946-05-28		Bristol	Flüchtlingsheim
401	Clarens	1946-09-16		Mirabeau	Flüchtlingsheim
408	Tänikon	1945-11-01		NULL	Freiplatzheim
411	Prégny	1946-03-21		NULL	Flüchtlingsheim
413	Engelberg	1945-11-01		Edelweiss	Flüchtlingsheim
413	Caux	1944-12-12		Esplanade	Flüchtlingsheim
414	Engelberg	1945-11-01		Alpina	Flüchtlingsheim
415	Vevey	1958-01-01		Les Bergers du Léman	Altersheim
416	Beatenberg	1945-11-01		Schweizerhof	Flüchtlingsheim
416	Clarens	1945-12-20		Beau Site	Flüchtlingsheim
417	Beatenberg	1945-11-01		Schweizerhof	Flüchtlingsheim
417	Clarens	1945-12-20		Beau Site	Flüchtlingsheim
417	Heiden	1948-10-15		Wartheim	Kinderheim
417	Bex-les-Bains	1947-04-01		Ascher	Kinderheim
418	Bex-les-Bains	1947-04-01		Ascher	Kinderheim
418	Heiden	1948-10-15		Wartheim	Kinderheim
418	Beatenberg	1945-11-01		Schweizerhof	Flüchtlingsheim
418	Clarens	1945-12-20		Beau Site	Flüchtlingsheim
420	Vevey	1991-09-27		Les Bergers du Léman	Altersheim
421	Trevano (bei Lugano)	1945-08-13		Castello	Schulheim
423	Territet	1945-11-01		Bristol	Flüchtlingsheim
423	Territet	1946-09-17		Les Terrasses	Flüchtlingsheim
423	St. Cergue	1944-08-01		Auberson	Flüchtlingsheim
423	Büren a/A	1943-03-01		NULL	Arbeitslager für Flüchtlinge
423	Möhlin	1943-11-01		NULL	Arbeitslager für Flüchtlinge
423	Prêles	1943-02-01		Baslerheim	Flüchtlingsheim
424	Weesen	1945-09-01		Bellevue - Speer	Flüchtlingsheim
424	Lugano	1946-03-21		Bernerhof	Altersheim
424	Lugano	1946-03-21		Les Palmiers	Flüchtlingsheim
424	Lugano-Paradiso	1945-11-01		De La Paix	Flüchtlingslager
424	Lugano - Ruvigliana	1946-01-03		Monte Bré	Flüchtlingsheim
424	Territet	1946-03-26		Bristol	Flüchtlingsheim
425	Territet	1945-11-01		Bristol	Flüchtlingsheim
425	Territet	1946-09-17		Les Terrasses	Flüchtlingsheim
426	Martigny	1943-01-01		NULL	Auffanglager
426	Eggiwil - Siehen	1945-09-01		NULL	Arbeitslager für Flüchtlinge
426	Zürichhorn	1945-11-01		NULL	Sonderbetrieb
429	Schauenburg - Bad	1940-11-01		NULL	Arbeitslager für Emigranten
434	Lausanne-Ouchy	1945-01-01		Tour Haldimand	Auffanglager
434	Corbeyrier	1945-05-01		Viktoria	Flüchtlingsheim
434	Beatenberg	1945-11-01		Schweizerhof	Flüchtlingsheim
436	Lugano - Castagnola	1945-11-01		Rheingold	Flüchtlingsheim
436	Clarens	1946-05-27		Beau Site	Flüchtlingsheim
436	Les Avants	1945-02-01		Grand Hotel	Flüchtlingsheim
436	Prêles	1945-04-01		Mon Souhait	Flüchtlingsheim
436	Lugano	1949-11-14		Bernerhof	Altersheim
436	Vevey	1954-01-01		Les Bergers du Léman	Altersheim
436	Lugano	1949-01-01		Villa Elisa	Flüchtlingsheim
439	Vevey	1967-09-01		Les Bergers du Léman	Altersheim
441	Lengnau	1942-01-05		NULL	Arbeitslager für Flüchtlinge
444	Kemleten	1940-07-28		NULL	Arbeitslager für Emigranten
449	Davos	1945-11-23		Etania	Sanatorium
449	Davos	1949-11-01		Etania	Sanatorium
449	Davos	1952-04-01		Etania	Sanatorium
449	Davos	1942-12-25		Etania	Sanatorium
